Season,Team,WINS,LOSSES,WinPCT,Percentile_Within_Season,Percentile_Across_All_Seasons,Win %
2025-26,Oklahoma City Thunder,64,18,0.78,100.0,98.2,78.0%
2025-26,San Antonio Spurs,62,20,0.756,96.7,96.9,75.6%
2025-26,Detroit Pistons,60,22,0.732,93.3,95.2,73.2%
2025-26,Boston Celtics,56,26,0.683,90.0,89.5,68.3%
2025-26,Denver Nuggets,54,28,0.659,86.7,85.6,65.9%
2025-26,New York Knicks,53,29,0.646,81.7,83.4,64.6%
2025-26,Los Angeles Lakers,53,29,0.646,81.7,83.4,64.6%
2025-26,Cleveland Cavaliers,52,30,0.634,75.0,81.4,63.4%
2025-26,Houston Rockets,52,30,0.634,75.0,81.4,63.4%
2025-26,Minnesota Timberwolves,49,33,0.598,70.0,71.7,59.8%
2025-26,Toronto Raptors,46,36,0.561,65.0,60.7,56.1%
2025-26,Atlanta Hawks,46,36,0.561,65.0,60.7,56.1%
2025-26,Philadelphia 76ers,45,37,0.549,56.7,58.1,54.9%
2025-26,Phoenix Suns,45,37,0.549,56.7,58.1,54.9%
2025-26,Orlando Magic,45,37,0.549,56.7,58.1,54.9%
2025-26,Charlotte Hornets,44,38,0.537,50.0,54.6,53.7%
2025-26,Miami Heat,43,39,0.524,46.7,51.6,52.4%
2025-26,Portland Trail Blazers,42,40,0.512,41.7,48.9,51.2%
2025-26,LA Clippers,42,40,0.512,41.7,48.9,51.2%
2025-26,Golden State Warriors,37,45,0.451,36.7,35.9,45.1%
2025-26,Milwaukee Bucks,32,50,0.39,33.3,25.4,39.0%
2025-26,Chicago Bulls,31,51,0.378,30.0,24.0,37.8%
2025-26,New Orleans Pelicans,26,56,0.317,25.0,15.5,31.7%
2025-26,Dallas Mavericks,26,56,0.317,25.0,15.5,31.7%
2025-26,Memphis Grizzlies,25,57,0.305,20.0,13.9,30.5%
2025-26,Sacramento Kings,22,60,0.268,15.0,8.1,26.8%
2025-26,Utah Jazz,22,60,0.268,15.0,8.1,26.8%
2025-26,Brooklyn Nets,20,62,0.244,10.0,5.3,24.4%
2025-26,Indiana Pacers,19,63,0.232,6.7,4.1,23.2%
2025-26,Washington Wizards,17,65,0.207,3.3,2.1,20.7%
2024-25,Oklahoma City Thunder,68,14,0.829,100.0,99.8,82.9%
2024-25,Cleveland Cavaliers,64,18,0.78,96.7,98.2,78.0%
2024-25,Boston Celtics,61,21,0.744,93.3,96.2,74.4%
2024-25,Houston Rockets,52,30,0.634,90.0,81.4,63.4%
2024-25,New York Knicks,51,31,0.622,86.7,79.1,62.2%
2024-25,Los Angeles Lakers,50,32,0.61,78.3,75.1,61.0%
2024-25,Denver Nuggets,50,32,0.61,78.3,75.1,61.0%
2024-25,Indiana Pacers,50,32,0.61,78.3,75.1,61.0%
2024-25,LA Clippers,50,32,0.61,78.3,75.1,61.0%
2024-25,Minnesota Timberwolves,49,33,0.598,70.0,71.7,59.8%
2024-25,Milwaukee Bucks,48,34,0.585,63.3,67.6,58.5%
2024-25,Golden State Warriors,48,34,0.585,63.3,67.6,58.5%
2024-25,Memphis Grizzlies,48,34,0.585,63.3,67.6,58.5%
2024-25,Detroit Pistons,44,38,0.537,56.7,54.6,53.7%
2024-25,Orlando Magic,41,41,0.5,53.3,45.6,50.0%
2024-25,Atlanta Hawks,40,42,0.488,48.3,43.1,48.8%
2024-25,Sacramento Kings,40,42,0.488,48.3,43.1,48.8%
2024-25,Chicago Bulls,39,43,0.476,41.7,41.0,47.6%
2024-25,Dallas Mavericks,39,43,0.476,41.7,41.0,47.6%
2024-25,Miami Heat,37,45,0.451,36.7,35.9,45.1%
2024-25,Phoenix Suns,36,46,0.439,31.7,34.0,43.9%
2024-25,Portland Trail Blazers,36,46,0.439,31.7,34.0,43.9%
2024-25,San Antonio Spurs,34,48,0.415,26.7,29.7,41.5%
2024-25,Toronto Raptors,30,52,0.366,23.3,22.7,36.6%
2024-25,Brooklyn Nets,26,56,0.317,20.0,15.5,31.7%
